symbol,security,gics_sector,gics_sub_industry
MMM,3M,Industrials,Industrial Conglomerates
AOS,A. O. Smith,Industrials,Building Products
ABT,Abbott Laboratories,Health Care,Health Care Equipment
ABBV,AbbVie,Health Care,Biotechnology
ACN,Accenture,Information Technology,IT Consulting & Other Services
ADBE,Adobe Inc.,Information Technology,Application Software
AMD,Advanced Micro Devices,Information Technology,Semiconductors
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders
AFL,Aflac,Financials,Life & Health Insurance
A,Agilent Technologies,Health Care,Life Sciences Tools & Services
