,mean,median,std,min,max,skew
sp500_open,4379.843726358822,4167.699951171875,1375.7752851283067,2290.7099609375,7806.60009765625,0.6149279046417462
sp500_high,4404.087404957919,4188.22021484375,1380.3359824715217,2300.72998046875,7816.7001953125,0.6133806876954307
sp500_low,4353.870454301603,4140.059814453125,1371.217550500873,2191.860107421875,7776.31005859375,0.6156809742366147
sp500_close,4380.595650841626,4167.72998046875,1376.339033729654,2237.39990234375,7798.990234375,0.6142347726769085
sp500_volume,4372156629.422719,4132870000.0,1095226292.5665252,0.0,10025820000.0,1.3233413924552726
vix_close,19.76830541354984,17.90999984741211,7.234206869752283,10.850000381469728,82.69000244140625,2.782869551241039
treasury_10y,2.9629329608938546,3.04,1.281370969473548,0.52,4.98,-0.3477455573693256
treasury_2y,2.7082076350093107,2.85,1.6219021705575336,0.09,5.19,-0.3645395237923885
sp500_return,0.0005417076296988303,0.00088234865660115,0.012155901420088067,-0.1198405524039344,0.0951538764490484,-0.3483165634448908
vix_change,0.0006284917977047193,-0.1400003433227539,2.1010203395382083,-18.71000289916992,24.86000061035156,2.071524822937784
vix_pct_change,0.003514460715755896,-0.00803651605010795,0.08793014544629314,-0.3575387396234843,1.1559792516603906,2.6731613266195398
yield_spread_10y_2y,0.2547253258845437,0.2799999999999998,0.5384860083197689,-1.0800000000000003,1.59,-0.07225401518164372
realized_volatility_5d,0.00859173221782067,0.007046449158283299,0.007046857091752252,0.0008081305017292,0.0845186140934934,4.432052084751237
realized_volatility_10d,0.00945060236920497,0.0078557022843714,0.006850868999497943,0.0024510958396024,0.0709866195387056,4.205581162833015
realized_volatility_21d,0.009986660649056152,0.008355847951692301,0.006528610082474442,0.003215822047917,0.059530023973107,3.9073396509197247
sp500_return_lag_1,0.0005409535362324153,0.00087866044251865,0.012155854403289292,-0.1198405524039344,0.0951538764490484,-0.34813532430677446
sp500_return_lag_3,0.0005383830094834681,0.00087866044251865,0.012157681511125144,-0.1198405524039344,0.0951538764490484,-0.34767580247490865
sp500_return_rolling_mean_5,0.0005410075683210294,0.00099511985104865,0.004928560382785687,-0.037521673861174,0.0335211142871643,-0.82793875578628
yield_spread_change_5d,-0.00016294227188081787,-0.0099999999999993,0.07955700287924673,-0.3100000000000005,0.6499999999999995,0.7184704316393608
vix_x_realized_vol_5d,0.2109250708876906,0.12435239759484805,0.39781792611063044,0.0141261208002951,6.809388720378236,9.661667268860194
future_5d_realized_volatility,0.00856968436335326,0.0070190427684443,0.007039283523507322,0.0008081305017291,0.0845186140934934,4.451034759607792
